CITY,SCRAPE,ID,URL
Barh,N,742,https://cricheroes.in/past-matches/742/Barh
Barhalganj,N,4608,https://cricheroes.in/past-matches/4608/Barhalganj
Bari Brahmana,N,1523,https://cricheroes.in/past-matches/1523/Bari%20Brahmana
Bari Sadri,N,52,https://cricheroes.in/past-matches/52/Bari%20Sadri
Baripada,N,3223,https://cricheroes.in/past-matches/3223/Baripada
Barisal,N,19613,https://cricheroes.in/past-matches/19613/Barisal
Barmer,N,53,https://cricheroes.in/past-matches/53/Barmer
Barnala,N,3385,https://cricheroes.in/past-matches/3385/Barnala
Barpeta,N,605,https://cricheroes.in/past-matches/605/Barpeta
Barpeta Road,N,606,https://cricheroes.in/past-matches/606/Barpeta%20Road
Barsana,N,4612,https://cricheroes.in/past-matches/4612/Barsana
Barshi (Maharashtra),N,2747,https://cricheroes.in/past-matches/2747/Barshi%20(Maharashtra)
Baruipur,N,5369,https://cricheroes.in/past-matches/5369/Baruipur
Barwala (Gujarat),N,1084,https://cricheroes.in/past-matches/1084/Barwala%20(Gujarat)
Barwala (Haryana),N,1344,https://cricheroes.in/past-matches/1344/Barwala%20(Haryana)
Basaria,N,1606,https://cricheroes.in/past-matches/1606/Basaria
Basirhat,N,5371,https://cricheroes.in/past-matches/5371/Basirhat
Basna,N,886,https://cricheroes.in/past-matches/886/Basna
Basni Belima,N,55,https://cricheroes.in/past-matches/55/Basni%20Belima
Basti,N,4615,https://cricheroes.in/past-matches/4615/Basti
Basugaon,N,607,https://cricheroes.in/past-matches/607/Basugaon
Bathinda,N,3388,https://cricheroes.in/past-matches/3388/Bathinda
Batote,N,1525,https://cricheroes.in/past-matches/1525/Batote
Bawal,N,1345,https://cricheroes.in/past-matches/1345/Bawal
Bawani Khera,N,1346,https://cricheroes.in/past-matches/1346/Bawani%20Khera
Baytown,N,9433,https://cricheroes.in/past-matches/9433/Baytown
Bazpur,N,5221,https://cricheroes.in/past-matches/5221/Bazpur
Beawar,N,58,https://cricheroes.in/past-matches/58/Beawar
Bechar,N,1086,https://cricheroes.in/past-matches/1086/Bechar
Bedi,N,1087,https://cricheroes.in/past-matches/1087/Bedi
Beed,N,2749,https://cricheroes.in/past-matches/2749/Beed
Begampur,N,5373,https://cricheroes.in/past-matches/5373/Begampur
Begun,N,59,https://cricheroes.in/past-matches/59/Begun
Begusarai,N,746,https://cricheroes.in/past-matches/746/Begusarai
Bela,N,4619,https://cricheroes.in/past-matches/4619/Bela
Belampalli,N,310,https://cricheroes.in/past-matches/310/Belampalli
Beldubi,N,5375,https://cricheroes.in/past-matches/5375/Beldubi
Belgaum,N,1791,https://cricheroes.in/past-matches/1791/Belgaum
Belgaum Cantonment,N,1792,https://cricheroes.in/past-matches/1792/Belgaum%20Cantonment
Bellampalli,N,4442,https://cricheroes.in/past-matches/4442/Bellampalli
Bellary,N,1793,https://cricheroes.in/past-matches/1793/Bellary
Belpahar,N,3229,https://cricheroes.in/past-matches/3229/Belpahar
Beltangadi,N,1795,https://cricheroes.in/past-matches/1795/Beltangadi
Belur (Karnataka),N,1796,https://cricheroes.in/past-matches/1796/Belur%20(Karnataka)
Belur (Tamil Nadu),N,3639,https://cricheroes.in/past-matches/3639/Belur%20(Tamil%20Nadu)
Bemetra,N,887,https://cricheroes.in/past-matches/887/Bemetra
Benaulim,N,994,https://cricheroes.in/past-matches/994/Benaulim
Bengaluru,N,1798,https://cricheroes.in/past-matches/1798/Bengaluru%20(Bangalore)
Benin,N,20337,https://cricheroes.in/past-matches/20337/Benin
Benoni,N,16708,https://cricheroes.in/past-matches/16708/Benoni
Bentota,N,11927,https://cricheroes.in/past-matches/11927/Bentota
Berhampur,N,3230,https://cricheroes.in/past-matches/3230/Berhampur
Bestavaripeta,N,311,https://cricheroes.in/past-matches/311/Bestavaripeta
Beswan,N,4622,https://cricheroes.in/past-matches/4622/Beswan
Betamcherla,N,312,https://cricheroes.in/past-matches/312/Betamcherla
Bewar,N,4623,https://cricheroes.in/past-matches/4623/Bewar
Bhabua,N,750,https://cricheroes.in/past-matches/750/Bhabua
Bhachau,N,1089,https://cricheroes.in/past-matches/1089/Bhachau
Bhadohi,N,4625,https://cricheroes.in/past-matches/4625/Bhadohi
Bhadra,N,61,https://cricheroes.in/past-matches/61/Bhadra
Bhadrachalam,N,4443,https://cricheroes.in/past-matches/4443/Bhadrachalam
Bhadrak,N,3231,https://cricheroes.in/past-matches/3231/Bhadrak
Bhadravati (Maharashtra),N,2750,https://cricheroes.in/past-matches/2750/Bhadravati%20(Maharashtra)
Bhadreswar,N,5378,https://cricheroes.in/past-matches/5378/Bhadreswar
Bhagalpur,N,751,https://cricheroes.in/past-matches/751/Bhagalpur
Bhalki,N,1800,https://cricheroes.in/past-matches/1800/Bhalki
Bhanjanagar,N,3232,https://cricheroes.in/past-matches/3232/Bhanjanagar
Bhanpura,N,2376,https://cricheroes.in/past-matches/2376/Bhanpura
Bhanpuri,N,888,https://cricheroes.in/past-matches/888/Bhanpuri
Bhanvad,N,1090,https://cricheroes.in/past-matches/1090/Bhanvad
Bharatpur (Rajasthan),N,63,https://cricheroes.in/past-matches/63/Bharatpur%20(Rajasthan)
Bharuch,N,14,https://cricheroes.in/past-matches/14/Bharuch
Bharveli,N,2377,https://cricheroes.in/past-matches/2377/Bharveli
Bharwari,N,4631,https://cricheroes.in/past-matches/4631/Bharwari
Bhatapara,N,889,https://cricheroes.in/past-matches/889/Bhatapara
Bhatkal,N,1801,https://cricheroes.in/past-matches/1801/Bhatkal
Bhatpar Rani,N,4633,https://cricheroes.in/past-matches/4633/Bhatpar%20Rani
Bhatpara,N,5383,https://cricheroes.in/past-matches/5383/Bhatpara
Bhavani,N,3641,https://cricheroes.in/past-matches/3641/Bhavani
Bhavnagar,N,5,https://cricheroes.in/past-matches/5/Bhavnagar
Bhawani Mandi,N,65,https://cricheroes.in/past-matches/65/Bhawani%20Mandi
Bhawanigarh,N,3395,https://cricheroes.in/past-matches/3395/Bhawanigarh
Bhawri,N,66,https://cricheroes.in/past-matches/66/Bhawri
Bhayavadar,N,1091,https://cricheroes.in/past-matches/1091/Bhayavadar
Bhestan,N,1092,https://cricheroes.in/past-matches/1092/Bhestan
Bhilai,N,891,https://cricheroes.in/past-matches/891/Bhilai
Bhilwara,N,67,https://cricheroes.in/past-matches/67/Bhilwara
Bhimavaram,N,314,https://cricheroes.in/past-matches/314/Bhimavaram
Bhimunipatnam,N,315,https://cricheroes.in/past-matches/315/Bhimunipatnam
Bhind,N,2383,https://cricheroes.in/past-matches/2383/Bhind
Bhinmal,N,69,https://cricheroes.in/past-matches/69/Bhinmal
Bhitarwar,N,2384,https://cricheroes.in/past-matches/2384/Bhitarwar
Bhiwadi,N,70,https://cricheroes.in/past-matches/70/Bhiwadi
Bhiwandi,N,2755,https://cricheroes.in/past-matches/2755/Bhiwandi
Bhiwani,N,1348,https://cricheroes.in/past-matches/1348/Bhiwani
Bhojpur,N,753,https://cricheroes.in/past-matches/753/Bhojpur
Bhokhardan,N,2756,https://cricheroes.in/past-matches/2756/Bhokhardan
Bhopal,N,2385,https://cricheroes.in/past-matches/2385/Bhopal
Bhor,N,2757,https://cricheroes.in/past-matches/2757/Bhor
Bhosari,N,2758,https://cricheroes.in/past-matches/2758/Bhosari
Bhubaneswar,N,3235,https://cricheroes.in/past-matches/3235/Bhubaneswar
Bhuj,N,20,https://cricheroes.in/past-matches/20/Bhuj
Bhupalpally,N,4446,https://cricheroes.in/past-matches/4446/Bhupalpally
Bhusawal,N,2760,https://cricheroes.in/past-matches/2760/Bhusawal
Bidar,N,1804,https://cricheroes.in/past-matches/1804/Bidar
Bidbid,N,13379,https://cricheroes.in/past-matches/13379/Bidbid
Bidhannagar,N,5385,https://cricheroes.in/past-matches/5385/Bidhannagar
Bihar,N,754,https://cricheroes.in/past-matches/754/Bihar
Bihar Sharif,N,755,https://cricheroes.in/past-matches/755/Bihar%20Sharif
Bihpuria,N,608,https://cricheroes.in/past-matches/608/Bihpuria
Bijapur,N,1805,https://cricheroes.in/past-matches/1805/Bijapur
Bijbiara,N,1527,https://cricheroes.in/past-matches/1527/Bijbiara
Bijni,N,609,https://cricheroes.in/past-matches/609/Bijni
Bikaner,N,72,https://cricheroes.in/past-matches/72/Bikaner
Bikapur,N,4644,https://cricheroes.in/past-matches/4644/Bikapur
Bikramganj,N,757,https://cricheroes.in/past-matches/757/Bikramganj
Bilara,N,73,https://cricheroes.in/past-matches/73/Bilara
Bilaspur (Chhattisgarh),N,892,https://cricheroes.in/past-matches/892/Bilaspur%20(Chhattisgarh)
Bilaspur (Haryana),N,1349,https://cricheroes.in/past-matches/1349/Bilaspur%20(Haryana)
Bilha,N,893,https://cricheroes.in/past-matches/893/Bilha
